Product Name,Brand Name,Price,Ratings,Review Count,Description
 Cool Berry - Hydrating Lip Balm has loaded,ILIA Balmy Tint,$28,4.8,1242,"What it is: A clean, tinted lip balm with active levels of moisture-boosting ingredients and sheer, buildable color.How it works: The buttery, balmy formula quenches lips on contact while adding a kiss of color that builds with each swipe. Salicornia (Sea Succulent), Rosehip Seed Oil, and Shea Butter deeply hydrate and nourish, helping lips look smoother and more plump.What else you need to know: The cult-classic lip balm that started it all, reimagined. Each Balmy Tint is carefully poured by hand to maintain the integrity of the active formula. Available in eight easy-to-wear shades for an effortless wash of color that you can dial up or down.Size: 0.15 oz | 4.4 gAwards:- Best Lip Balm, Glamour Beauty Awards (2022)- Best Tinted Lip Balm, Refinery29's Beauty Innovator Awards (2021)- POPSUGAR Pick (2021)"

Reviewer Name,Status,Rating,Date,Title,Review
Tracey L.,Verified Buyer,Rated 5 out of 5,10/25/2023,Best Lipstick EVER,I am a fanatic about trying to find lip color that doesn’t dry out your lips and stays on for long periods of time (I’m a busy nurse). Found it with Ilia…. And LOVE the color Memoir…. A little more pop than natural lip color. IN LOVE!
Michele D.,Verified Buyer,Rated 5 out of 5,08/23/2023,Fabu-lips!,Absolutely loved this tinted lip balm with spf for vacation! So smooth & buttery with the perfect tint. Did not get sticky at the beach! I will be buying other shades!!
Joy B.,Verified Buyer,Rated 4 out of 5,08/05/2023,Lovely feel and color,"I love the way this feels on my lips. I gave it four stars instead of 5 because it's not very long lasting. I have to reapply often throughout the day. I got 4 colors, they're all gorgeous.. this picture is lullaby, gone over 3 times on lips. I like how buildable it is. One swipe and it looks very healthy and natural. 3 swipes for a nice color to show. I have a neutral undertone and find the color flattering."
CINTHIA G.,Verified Buyer,Rated 5 out of 5,07/22/2023,Love love love,Beautiful color! It gives me the coverage and moisture I was looking for.
Jessica C.,Verified Buyer,Rated 5 out of 5,07/14/2023,Lovely,Great tinted lip balm. Not super moisturizing or oily. Easy to apply wash of color.
Kate D.,Verified Buyer,Rated 5 out of 5,06/28/2023,So hydrating!,I absolutely love this lip tint! I got the free sample pack of all the tint colors and and Wanderlust was definitely my favorite! My husband picked it out and he loved it as well. It's such a great way to add some color and feels so lightweight and moisturizing. I will definitely be purchasing a full size for every day wear!
Summer A.,Verified Buyer,Rated 5 out of 5,06/24/2023,"Moisturizing, Plumping, Deeply Saturated Lip Balm","At first, I was skeptical of the new formulation of the hydrating lip balms because I was such a fan of Ilia’s orignal product, Arabian Nights.
After using Wanderlust for quite sometime, I can vouch the new formulation is even better. What I love most about this product is how easy it is to layer to achieve increased moisture and more vivid color. With so many other lip products this results in a funky residue of excess product, but the hydrating products in this balm just absorb into your lips resulting in a healthy, moisturized, plump look which is particularly nice on dehydrated or aging lips. It also makes the colors very customizable. I think this product’s ingredients also help maintain lip health over time. Lastly, I would suggest that Wanderlust is a very versatile color for many skin tones that can be adjusted from a very sheer berry to a deep luscious look depending on your preference. And the product lasts a long time."
